line_number,section,hindi,english,roman
1.0,,जमदग्निसुतं वीरं क्षत्रियान्तकरं परम्।,"Son of Jamadagni, hero, supreme destroyer of corrupt Kshatriyas",Jamadagni sutam viram kshatriyan taka ram param
,,परशुधारिणं देवं परशुरामं नमाम्यहम्॥,The Lord bearing the axe — I bow to Parashurama,Parashu dharinam devam Parashuramam namamyaham
,|| ॐ ||,,,
,,भृगुकुलभूषणं शूरं रेणुकानन्दनं प्रभुम्।,"Ornament of the Bhrigu clan, heroic, son of Renuka, the Lord",Bhrigu kula bhushanam shouram Renuka nandanam prabhum
,,विष्णोरंशावतारं तं परशुरामं नमाम्यहम्॥,The partial avatar of Vishnu — I bow to Parashurama,Vishnor ansha avataram tam Parashuramam namamyaham
,|| ॐ ||,,,
,,चिरञ्जीविनं सप्तर्षौ गण्यं योगिनामपि।,"The immortal one, counted among the Saptarishis, even among yogis",Chiranjeevinam saptarshau ganyam yoginam api
,,अश्वत्थाम्नः समं वीरं परशुरामं नमाम्यहम्॥,A hero equal to Ashvatthama — I bow to Parashurama,Ashvathaamnah samam viram Parashuramam namamyaham
,|| ॐ ||,,,
,,परशुरामाष्टकं यः पठेत् नित्यं भक्तिसंयुतः।,Whoever reads the Parashurama Ashtakam daily with devotion,Parashuram ashtakam yah pathet nityam bhakti samyutah
,,शत्रुजयं बलं वीर्यं लभते नात्र संशयः॥,"Attains victory over enemies, strength and heroism — there is no doubt",Shatru jayam balam viryam labhate natra samshayah
,|| अंत ||,,,
