line_number,section,hindi,english,roman
1.0,,"जय जय पशुपति देव हर कर्मनुग्रहं,","Victory, victory to Pashupati — remove the burden of karma with your grace",Jaya jaya Pashupati deva hara karma nugrahm
,,जय जय परमेशान देहि मोक्षदायकम्।,"Victory, victory to the supreme Lord — grant the gift of liberation",Jaya jaya Parameshana dehi moksha dayakam
,,"पशुबद्धाः सर्वे मुच्यन्तु पाशात्,",May all souls bound like animals be freed from their bonds,Pashu baddhah sarve muchyantu pashat
,,पशुपते कृपया सर्वत्र रक्ष माम्॥,"O Pashupati, with compassion protect me everywhere",Pashupate kripaya sarvatra raksha mam
,|| ॐ ||,,,
,,"नमस्ते सर्वदेवाय, नमस्ते सर्वभूतये।","Salutations to the lord of all gods, salutations to the lord of all beings",Namaste sarva devaya namaste sarva bhutaye
,,नमस्ते रुद्रमूर्तये पशुपालाय ते नमः।,"Salutations to the Rudra form, salutations to the shepherd of souls",Namaste Rudra murtaye Pashupaalaya te namah
,,वरदाय नमस्तुभ्यं नमः सर्वकृते नमः।,"Salutations to the boon-giver, salutations to the creator of all",Varadaya namastubhyam namah sarva krite namah
,,पशुपतय नमस्तुभ्यं नमः शिवाय ते नमः॥,"Salutations to Pashupati, salutations to Shiva — salutations to you",Pashupataya namastubhyam namah Shivaya te namah
,|| ॐ ||,,,
,,पाशुपताष्टकमिदं यः पठेन्नित्यं शिवान्तिके।,This Pashupati Ashtakam — whoever reads it daily in the presence of Shiva,Pashupata ashtakam idam yah pathet nityam Shivantike
,,मुच्यते सर्वपाशेभ्यः शिवसायुज्यमाप्नुयात्॥,Is freed from all bonds and attains union with Shiva,Muchyate sarva pashe bhyah Shiva sayujyam apnuyat
,|| अंत ||,,,
