line_number,section,hindi,english,roman
1.0,,अर्चितानाममर्त्यानां पितॄणां दीप्ततेजसाम्।,"Salutations to the honoured, immortal ancestors of blazing splendour",Architanam amartyanam pitrinam dipta tejasam
,,नमस्यामि सदा तेषां ध्यानिनां दिव्यचक्षुषाम्॥,I always bow to those meditating ancestors with divine vision,Namasyami sada tesham dhyaninaam divya chakshusham
,|| ॐ ||,,,
,,इन्द्रादीनां च नेताऽसि दक्षमारीचयोस्तथा।,"You are the leader of Indra and others, of Daksha and Maricha too",Indraadinaam cha neta asi Daksha maricha yostatha
,,भगभानू त्वमेवासि शक्रश्च त्वमनामयः॥,"You are Bhaga, Bhanu and Shakra, the imperishable one",Bhaga Bhanu tvam eva asi Shakrash cha tvam anamayah
,|| ॐ ||,,,
,,पितृभ्यः स्वधायिभ्यः स्वधा नमः।,"Salutations, Svadha to the ancestors who receive Svadha",Pitribhyah svadhayibhyah svadha namah
,,पितृभ्यः सोमपेभ्यः स्वधा नमः॥,"Salutations, Svadha to the ancestors who drink Soma",Pitribhyah soma pebhyah svadha namah
,|| ॐ ||,,,
,,पितृस्तोत्रं यः पठेत् श्राद्धकाले नरः सदा।,Whoever reads this Pitru Stotram always during the Shraddha period,Pitru stotram yah pathet shraddha kale narah sada
,,पितृणां तृप्तिदः स्याद् धन्यः स पुत्र उत्तमः॥,"Satisfies the ancestors and becomes a blessed, excellent son",Pitrinam triptidah syad dhanyah sa putra uttamah
,|| अंत ||,,,
