line_number,section,hindi,english,roman
1.0,,"प्रातः स्मरामि हृदि संस्फुरदात्मतत्त्वं,","At dawn I remember the truth of the Self, which shines in my heart",Pratah smarami hridi samsphurad atma tattvam
,,सच्चित्सुखं परमहंसगतिं तुरीयम्।,"Being-consciousness-bliss, the state of the supreme swan, the fourth state",Sachit sukham parama hamsa gatim turiyam
,,"यत्स्वप्नजागरसुषुप्तिमवैति नित्यं,","Which is aware of dream, waking and deep sleep always",Yat svapna jagara sushupti mavaiti nityam
,,तद्ब्रह्म निष्कलमहं न च भूतसंघः॥,That pure Brahman am I — not this assembly of elements,Tad Brahma nishkalam aham na cha bhuta sanghah
,|| ॐ ||,,,
,,"प्रातर्भजामि मनसा वचसामगम्यं,",At dawn I worship with the mind that which is beyond words,Pratar bhajami manasa vachasam agamyam
,,वाचो विभान्ति निखिला यदनुग्रहेण।,Words shine fully by whose grace alone,Vacho vibhanti nikhila yad anugrihena
,,"यन्नेति नेति वचनैर्निगमा अवोचन्,","Which the Vedas describe by the words not this, not this",Yannneti neti vachanair nigama avocan
,,तं देवदेवमजमच्युतमाहुरग्र्यम्॥,"That god of gods, the unborn, the infallible — they call him the foremost",Tam deva devam ajam achyutam ahur agryam
,|| ॐ ||,,,
,,"प्रातः स्मरेत् पुरुषमेकमजं निरीहं,",At dawn meditate on the single unborn desireless Purusha,Pratah smaret purush amekam ajam nirihm
,,ब्रह्मा च विष्णुश्च शिवश्च निष्कलम्।,"Brahma, Vishnu and Shiva in one — the pure undivided",Brahma cha Vishnushcha Shivashcha nishkalam
,,"यस्मिन् त्रयो देवगणाः समेता,",In whom the three groups of gods are united,Yasmin trayo deva gana uh sameta
,,स्तुवन्तु देवं सकलं महेशम्॥,They praise that all-encompassing great Lord,Stuvantu devam sakalam Mahesham
,|| अंत ||,,,
