line_number,section,hindi,english,roman
1.0,,ॐ सहस्रशीर्षा पुरुषः सहस्राक्षः सहस्रपात्।,"Om — The Purusha has a thousand heads, a thousand eyes, a thousand feet",Om Sahasra shirsha Purushah sahasrakshasya sahasrapat
,,स भूमिं सर्वतः स्पृत्वा अत्यतिष्ठद्दशाङ्गुलम्॥,He pervades the earth on all sides and extends ten fingers beyond,Sa bhumim sarvatah spritva atyatishthad dashangulam
,|| ॐ ||,,,
,,पुरुष एवेदं सर्वं यद्भूतं यच्च भव्यम्।,This whole universe is the Purusha — all that has been and all that will be,Purusha evedam sarvam yadbhutam yaccha bhavyam
,,उतामृतत्वस्येशानो यद्अन्नेनातिरोहति॥,"He is also the lord of immortality, who grows by food",Utam rittvasya Ishaano yad annenati rohati
,|| ॐ ||,,,
,,एतावानस्य महिमा अतो ज्यायांश्च पूरुषः।,"Such is his greatness, yet the Purusha is even greater than this",Etavanas ya mahima ato jyayan shcha Purushaha
,,पादोऽस्य सर्वा भूतानि त्रिपादस्यामृतं दिवि॥,"All beings are one quarter of him, and three quarters of him is immortal in heaven",Pado asya sarva bhutani tri padasy amritam divi
,|| ॐ ||,,,
,,ब्राह्मणोऽस्य मुखमासीद् बाहू राजन्यः कृतः।,"The Brahmin was his mouth, the arms were made the Kshatriya",Brahmano asya mukham asid bahu Rajanyah kritah
,,ऊरू तदस्य यद्वैश्यः पद्भ्यां शूद्रो अजायत॥,"His thighs became the Vaishya, from his feet the Shudra was born",Uru tadasy a yadvaishyah padbhyam Shudro ajayata
,|| अंत ||,,,
