line_number,section,hindi,english,roman
1.0,,अस्य श्रीरामरक्षास्तोत्रमन्त्रस्य। बुधकौशिक ऋषिः। श्री सीताराम चन्द्रो देवता।,"Of this Ram Raksha Stotra mantra, the sage is Budhakaushika; the deity is Sita-Ramachandra",Asya Shri Rama Raksha Stotrasya. Budhakausika Riishi. Shri Sitarama Chandro devata
,|| ॐ ||,,,
,,"ध्यायेदाजानुबाहुं धृतशरधनुषं बद्धपद्मासनस्थं,","Meditate on Rama with arms reaching to the knees, holding bow and arrows, seated in lotus posture",Dhyayedajanubahum dhridhashara dhanusham baddha padmasanastham
,,पीतं वासो वसानं नवकमलदलस्पर्धिनेत्रं प्रसन्नम्।,"Wearing yellow garments, with eyes that rival new lotus petals, serene",Pitam vaso vasanam nava kamala dala spardhi netram prasannam
,,"वामाङ्कारूढसीतामुखकमलमिलल्लोचनं नीरदाभं,","Sita is seated on his left, his lotus face meets her eyes, dark as a rain-cloud",Vamanka rudha Sita mukha kamala milallochanam niradabham
,,नानालंकारदीप्तं दधतमुरुजटामण्डलं रामचन्द्रम्॥,"Radiant with various ornaments, bearing great matted locks — Ramachandra",Nanaalankara deeptam dadhatam urujata mandalam Ramachandram
,|| ॐ ||,,,
,,"रामो राजमणिः सदा विजयते रामं रमेशं भजे,","Ram the gem among kings ever triumphs — I worship Ram, lord of Rama (Lakshmi)",Ramo Raja manih sada vijayate Ramam Ramessham bhaje
,,रामेणाभिहता निशाचरचमू रामाय तस्मै नमः।,By Ram were the demon armies struck down — salutations to that Ram,Ramenabhihata nishachara chamu Ramaya tasmai namah
,,"रामान्नास्ति परायणं परतरं रामस्य दासोऽस्म्यहं,",There is no greater refuge than Ram — I am the servant of Ram,Ramannasti parayanam parataram Ramasya dasosmyaham
,,रामे चित्तलयः सदा भवतु मे भो राम मामुद्धर॥,"May my mind ever merge in Ram — O Ram, lift me up!",Rame chitta layah sada bhavatu me bho Rama mamuddhara
,|| ॐ ||,,,
,,"रक्षो घ्नं रक्ष मां राम, रक्षोघ्नः रणमर्दनः।","O destroyer of demons, protect me O Ram, you who crush the battle-field","Rakshognam raksha mam Rama, rakshognah ranaardanah"
,,रामाय रामभद्राय रामचन्द्राय वेधसे। रघुनाथाय नाथाय सीतायाः पतये नमः॥,"Salutations to Rama, Ramabhadra, Ramachandra the creator; to Raghunatha the lord and husband of Sita","Ramaya Ramabhadraya Ramachandraya vedhase, Raghunathaya nathaya Sitayah pataye namah"
,|| अंत ||,,,
