line_number,section,hindi,english,roman
1.0,,"श्री रामचन्द्र गुणमन्दिरं सुन्दरम्,","Shri Ramachandra, beautiful abode of virtues",Shri Ramachandra guna mandirm sundaram
,,महेन्द्रवंशभवमुत्तमं ऋजुतम्।,"Born in the great Indra's lineage, excellent and upright",Mahendra vamsha bhavam uttamam rijutam
,,"सीतापतिं रघुपतिं प्रभुमीश्वरम्,","Lord of Sita, lord of the Raghus, the Lord and master",Sita patim Raghu patim prabhum Ishvaram
,,भजेऽहमेकमनसा शरणागतम्॥,"I worship with single mind, taking his refuge",Bhaje aham eka manasa sharana gatam
,|| ॐ ||,,,
,,रामं कमलपत्राक्षं रामं सर्वप्रियं सदा।,"Ram with eyes like lotus petals, Ram who is always dear to all",Ramam kamala patra ksha Ramam sarva priyam sada
,,रामं रघुकुलश्रेष्ठं रामचन्द्रं नमाम्यहम्॥,Ram the best of the Raghu clan — I bow to Ramachandra,Ramam Raghu kula shresthama Ramachandram namamyaham
,|| ॐ ||,,,
,,रामाष्टकमिदं यः पठेत् नित्यं भक्तिसमन्वितः।,Whoever reads this Rama Ashtakam daily with devotion,Rama ashtakam idam yah pathet nityam bhakti samanvitah
,,सर्वपापविनिर्मुक्तः साकेतं प्राप्नुयात् नरः॥,"Freed from all sins, that person attains Saket (Ayodhya, the abode of Ram)",Sarva papa vinirmukto Saketam prapnuyat narah
,|| अंत ||,,,
