line_number,section,hindi,english,roman
1.0,,"जय राम श्रीराम जय राम रामम्, जय राम सीतेश सुराभिरामम्।","Victory to Ram, Shri Ram, victory to Ram, Ram; victory to Ram, lord of Sita, beautiful to the gods",Jaya Rama Shri Rama jaya Rama Ramam jaya Rama Sitesha surabhiramam
,,"जय राम श्रीराम जय राम रामम्, भजे सदा रामम् रघुराम रामम्॥","Victory to Ram, Shri Ram, victory to Ram; I always worship Ram, the Raghu-Ram",Jaya Rama Shri Rama jaya Rama Ramam bhaje sada Ramam Raghu Rama Ramam
,|| ॐ ||,,,
,,"राम नाम परम धाम, राम नाम सत्यस्वरूप।","The name of Ram is the supreme abode, the name of Ram is the embodiment of truth",Rama nama param dhama Rama nama satya svarupa
,,"राम नाम निरन्तर जपो, राम नाम अमृत रूप॥","Chant the name of Ram continuously, the name of Ram is the form of nectar",Rama nama nirantar japo Rama nama amrita rupa
,|| ॐ ||,,,
,,"राम चन्द्र कृपालु भज मन, हरण भव भय दारुणम्।","Worship in the mind Ram Chandra the merciful, who removes the terrible fear of worldly existence",Rama chandra kripaloo bhaja mana harana bhava bhaya darunam
,,"नवकञ्ज लोचन कञ्ज मुख कर, कञ्ज पद कञ्जारुणम्॥","Lotus-eyed, lotus-faced, lotus-handed, lotus-footed, reddish as lotuses",Nava kanja lochana kanja mukha kara kanja pada kanjaarunam
,|| ॐ ||,,,
,,रामतण्डवस्तोत्रमिदं यः पठेद् भक्तितः सदा।,Whoever reads this Rama Tandava Stotram with devotion always,Rama tandava stotram idam yah pathed bhaktitah sada
,,राममालोकयन् नित्यं रामस्य पदमाप्नुयात्॥,"Beholding Rama always, one attains the state of Rama",Rama malokayan nityam Ramasya padam apnuyat
,|| अंत ||,,,
