line_number,section,hindi,english,roman
1.0,,रामचन्द्राय नमस्तुभ्यं रामभद्राय ते नमः।,"Salutations to Ramachandra, salutations to Ramabhadra",Ramachandraya namastubhyam Ramabhadraya te namah
,,रघुनाथाय नाथाय सीतायाः पतये नमः॥,"Salutations to Raghunatha the lord, husband of Sita",Raghunathaya nathaya Sitayah pataye namah
,|| ॐ ||,,,
,,रामं दशरथीं शुद्धं सर्वपापप्रणाशनम्।,"Rama son of Dasharatha, pure, destroyer of all sins",Ramam Dasharathim shuddham sarva papa pranashanam
,,कोसलेन्द्रं महावीरं कोदण्डपाणिमुत्तमम्॥,"The great hero king of Kosala, the excellent one holding the bow",Kosalendram mahaveeram kodanda panimuttamam
,|| ॐ ||,,,
,,श्यामलं सुन्दरं शान्तं धनुर्बाणधरं प्रभुम्।,"Dark-hued, beautiful, peaceful, the Lord bearing bow and arrows",Shyamalam sundaram shantam dhurba na dharam prabhum
,,जानकीवल्लभं रामं रावणान्तकमीश्वरम्॥,"The beloved of Janaki, Rama the destroyer of Ravana, the Lord",Janaki vallabham Ramam Ravana antakam Ishvaram
,|| ॐ ||,,,
,,रामाष्टकमिदं पुण्यं भक्त्या यः पठते नरः।,This sacred Rama Ashtakam — whoever reads it with devotion,Rama ashtakam idam punyam bhaktya yah pathate narah
,,अयोध्यां प्राप्नुयात् नित्यं राघवस्य प्रसादतः॥,Always attains Ayodhya by the grace of Raghava,Ayodhyam prapnuyat nityam Raghavaya prasadatah
,|| अंत ||,,,
