line_number,section,hindi,english,roman
1.0,,"कावेरीतीरपरिसरे कनकाद्रौ,",On the golden mountain near the banks of the Kaveri river,Kaveri tira parisare kanaka drau
,,सेव्यः सनत्कुमारादिमुनिगणैः श्रीरङ्गनाथः।,"Lord Ranganatha, served by Sanatkumara and other munis",Sevyah sanat kumara adi muniganaih Shri Ranganathah
,,"श्रिया कटाक्षपात्रं दिव्यतनुं,","The recipient of Lakshmi's glances, with a divine body",Shriya kataaksha patram divya tanum
,,नमामि देवं रङ्गनाथं हरिं॥,"I bow to Lord Ranganatha, Hari",Namami devam Ranganatham Harim
,|| ॐ ||,,,
,,"रङ्गे शयानं रमया सहायं,",Reclining on Ranga (the serpent bed) with Lakshmi beside him,Range shayanam Ramaya sahayam
,,भक्तप्रियं भवभयापहारम्।,"Beloved of devotees, remover of the fear of worldly existence",Bhakta priyam bhava bhaya apaharam
,,"श्रीरङ्गनाथाय नमोऽस्तु नित्यं,",Salutations always to Sri Ranganatha,Shri Ranganathaya namostu nityam
,,सर्वेश्वराय प्रभवे नमस्ते॥,"To the lord of all, the primordial source — salutations",Sarveshvaraya prabhave namaste
,|| ॐ ||,,,
,,रङ्गनाथाष्टकमिदं यः पठेन्नित्यमादरात्।,This Ranganathashtakam — whoever reads it daily with reverence,Ranganatha ashtakam idam yah pathet nityam adarat
,,श्री रङ्गनाथकृपया विष्णुलोकं स गच्छति॥,By the grace of Ranganatha he goes to the world of Vishnu,Shri Ranganatha kripaya Vishnu lokam sa gachchhati
,|| अंत ||,,,
