line_number,section,hindi,english,roman
1.0,,"सिन्दूरवर्णं द्विभुजं गणेशं,",The red-coloured two-armed Ganesha,Sindura varnam dwibhujam Ganesham
,,लम्बोदरं कमलपीठसंस्थम्।,"Large-bellied, seated on a lotus throne",Lambodaram kamala pitha samstham
,,"प्रसन्नवदनं सर्वकारणेशं,","With a serene face, lord of all causes",Prasanna vadanam sarva karanesham
,,नमामि शिरसा देवं ऋणहर्तारम्॥,I bow my head to the divine remover of debts,Namami shirasa devam rina hartaram
,|| ॐ ||,,,
,,"गणेश त्वं ऋणं हर मम,","O Ganesha, remove my debt",Ganesha tvam rinam hara mama
,,दारिद्र्यमोचन मां कुरु।,Free me from poverty,Daridra mochana mam kuru
,,"सौभाग्यमखिलं देहि,",Grant me all good fortune,Saubhagyam akhilam dehi
,,विघ्नहर्तास्त्वमेव हि॥,For you alone are the remover of obstacles,Vigna hartas tvam eva hi
,|| ॐ ||,,,
,,"ऋणहर्तागणेशाय, धनदाय नमो नमः।","Salutations to Ganesha the debt-remover, the giver of wealth",Rinharta Ganeshaaya dhana dayaaya namo namah
,,"सर्वसम्पत् प्रदात्रे च, सर्वदुःखापहारिणे॥",To the bestower of all prosperity and remover of all sorrows,Sarva sampat pradaatre cha sarva duhkha apaharene
,|| अंत ||,,,
