line_number,section,hindi,english,roman
1.0,,"नमामीशमीशान निर्वाणरूपं, विभुं व्यापकं ब्रह्मवेदस्वरूपम्।","I bow to the Lord of lords, embodiment of liberation, all-pervading, the essence of Brahman and the Vedas",Namami Isham Ishana nirvanarupa vibhum vyapakam Brahma vedasvarupam
,,"निजं निर्गुणं निर्विकल्पं निरीहं, चिदाकाशमाकाशवासं भजेऽहम्॥","I worship the self-luminous, attributeless, doubt-free, desireless Lord, the consciousness-sky dwelling in the sky",Nijam nirgunam nirvikalpam nirihaam chidakasham akasha vasam bhajeham
,|| ॐ ||,,,
,,"निराकारमोङ्कारमूलं तुरीयं, गिराज्ञानगोतीतमीशं गिरीशम्।","The formless one, root of Om, the fourth state, beyond the speech and knowledge of mountains, Lord of mountains",Niraakara monkaaramuulam tureeyam giraagyana goteetam Isham Girisham
,,"करालं महाकाल कालं कृपालुं, गुणागार संसारपारं नतोऽस्मि॥","The fierce Mahakala, embodiment of time, compassionate, abode of virtues, beyond the world — I bow",Kaalam mahaakaala kaalam kripaalam gunaagara samsaarapaaram natosmi
,|| ॐ ||,,,
,,"तुषाराद्रिसङ्काशगौरं गभीरं, मनोभूतकोटिप्रभाश्री शरीरम्।","Fair as snow-clad mountains, deep and profound, his body radiates the glory of crores of love-gods",Tusharaadri sankasha gauram gambhiram manobhuta koti prabhashri shariram
,,"स्फुरन्मौलिकल्लोलिनी चारुगङ्गा, लसद्भालबालेन्दु कण्ठे भुजङ्गा॥","The beautiful Ganga flowing from his radiant crown, the crescent moon on his forehead, serpents at his throat",Sphuranamoli kallolani charu Ganga lasad bhala balendu kanthe bhujanga
,|| ॐ ||,,,
,,"महेशं अजेशं परेशं गणेशं, महेन्द्रादिदेवार्चितं पादपद्मम्।","Maheshwara the unconquered supreme Lord of hosts, whose lotus feet are worshipped by Mahendra and all gods",Mahesham ajessham paresham Ganesham mahendraadi devarchitam padapadmam
,,"चिदानन्दरूपं शिवोऽहं शिवोऽहं, शिवोऽहं शिवोऽहं शिवोऽहं शिवोऽहम्॥","I am consciousness-bliss, I am Shiva, I am Shiva, I am Shiva, I am Shiva, I am Shiva, I am Shiva",Chidananda rupam Shivoham Shivoham Shivoham Shivoham Shivoham Shivoham
,|| अंत ||,,,
