line_number,section,hindi,english,roman
1.0,,"बाल समय रवि भक्ष लियो तब, तीनहुं लोक भयो अंधियारो।","In childhood he swallowed the sun, plunging all three worlds into darkness","Baal samay ravi bhaksha liyo tab, teenahun lok bhayo andhiyaaro"
,,"ताहि सों त्रास भयो जग को, यह संकट काहु सों जात न टारो।",The world trembled with fear and this crisis could not be resolved by anyone,"Tahi son tras bhayo jag ko, yah sankat kahu son jat na taaro"
,,"देवन आनि करी बिनती तब, छाड़ी दियो रवि कष्ट निवारो।","The gods came and pleaded, he released the sun, removing the calamity","Devan aani kari binti tab, chadi diyo ravi kasht nivaaro"
,,"को नहीं जानत है जग में कपि, संकटमोचन नाम तिहारो।","Who in the world does not know, O monkey, your name Sankat Mochan","Ko nahin janat hai jag mein kapi, sankatmochan naam tiharo"
,|| ॐ ||,,,
,,"बालि की त्रास कपीस बसैं गिरि, जात महाप्रभु पंथ निहारो।",Tormented by Bali the monkey-king lived on the mountain watching the path,"Baali ki tras kapees basain giri, jaat mahaprabhu panth nihaaro"
,,"चौंकि महामुनि साप दियो तब, चाहिए कौन बिचार बिचारो।",The great sage gave a curse — what more consideration was needed,"Chonki mahamuni saap diyo tab, chahiye kaun bichaar bichaaro"
,,"कैद्विज रूप लिवाय महाप्रभु, सो तुम दास के सोक निवारो।","Bringing the great Lord in brahmin form, you removed the servant's grief","Kaidwij roop livaay mahaprabhu, so tum daas ke sog nivaaro"
,,"को नहीं जानत है जग में कपि, संकटमोचन नाम तिहारो।","Who in the world does not know, O monkey, your name Sankat Mochan","Ko nahin janat hai jag mein kapi, sankatmochan naam tiharo"
,|| ॐ ||,,,
,,"लाल देह लाली लसे, अरु धरि लाल लंगूर।","His red body glows brilliantly, bearing his red tail","Laal deh laali lase, aru dhari laal langoor"
,,"वज्र देह दानव दलन, जय जय जय कपि सूर।।",His thunderbolt body destroys demons — victory to the heroic monkey,"Vajra deh danav dalan, jaya jaya jaya kapi soor"
,|| अंत ||,,,
