line_number,section,hindi,english,roman
1.0,,प्रणम्य शिरसा देवं गौरीपुत्रं विनायकम्।,"Bowing my head to the Lord, son of Gauri, the Vinayaka",Pranamya shirasa devam Gauri putram Vinayakam
,,भक्तावासं स्मरेन्नित्यमायुःकामार्थसिद्धये॥,"The abode of devotees — remember him daily for attainment of long life, desire and purpose",Bhaktavasam smaren nityam ayuh kama artha siddhaye
,|| ॐ ||,,,
,,प्रथमं वक्रतुण्डं च एकदन्तं द्वितीयकम्।,"First is Vakratunda, second is Ekadanta",Prathamam Vakratundam cha Ekadantam dwiteeyakam
,,तृतीयं कृष्णपिङ्गाक्षं गजवक्त्रं चतुर्थकम्॥,"Third is Krishnapingaksha, fourth is Gajavaktra",Tritiyam Krishna Pingaksham Gaja Vaktram chaturtham
,,लम्बोदरं पञ्चमं च षष्ठं विकटमेव च।,"Fifth is Lambodara, sixth is Vikata",Lambodharam panchamam cha shashtham Vikatam eva cha
,,सप्तमं विघ्नराजेन्द्रं धूम्रवर्णं तथाष्टमम्॥,"Seventh is Vighnarajendra, eighth is Dhumravarna",Saptamam Vighna Rajendram Dhumra Varnam tathashtamam
,|| ॐ ||,,,
,,नवमं भालचन्द्रं च दशमं तु विनायकम्।,"Ninth is Bhalacandra, tenth is Vinayaka",Navamam Bhalachandram cha dashamam tu Vinayakam
,,एकादशं गणपतिं द्वादशं तु गजाननम्॥,"Eleventh is Ganapati, twelfth is Gajanan",Ekadashm Ganapati dvadasham tu Gajananum
,|| ॐ ||,,,
,,द्वादशैतानि नामानि त्रिसन्ध्यं यः पठेन्नरः।,These twelve names — whoever reads them at the three junctions of the day,Dvadashaetani namani trisandhyam yah pathen narah
,,न च विघ्नभयं तस्य सर्वसिद्धिकरं प्रभो॥,"Has no fear of obstacles — O Lord, it brings all perfections",Na cha vighna bhayam tasya sarva siddhi karam prabho
,|| अंत ||,,,
