line_number,section,hindi,english,roman
1.0,,"या कुन्देन्दुतुषारहारधवला या शुभ्रवस्त्रावृता,","She who is white as jasmine, moon and snow, clad in pure white garments",Ya kundendutushara hara dhavala ya shubhra vastra avrita
,,या वीणावरदण्डमण्डितकरा या श्वेतपद्मासना।,"Who holds a veena and a staff of blessings, seated on a white lotus",Ya veena vara danda manditakara ya shweta padmasana
,,"या ब्रह्माच्युतशंकरप्रभृतिभिर्देवैः सदा वन्दिता,","Who is always worshipped by Brahma, Achyuta, Shankara and all the gods",Ya Brahma achyuta Shankara prabhritibhir devaih sada vandita
,,सा मां पातु सरस्वती भगवती निःशेषजाड्यापहा॥,"May that divine Saraswati protect me, the remover of all dullness",Sa mam patu Saraswati Bhagavati nihshesha jadya paha
,|| ॐ ||,,,
,,"शुक्लां ब्रह्मविचारसारपरमामाद्यां जगद्व्यापिनीम्,","The supreme white one, essence of Brahma contemplation, the first, all-pervasive",Shuklam Brahma vichara saara paramam adyam jagad vyapinim
,,वीणापुस्तकधारिणीमभयदां जाड्यान्धकारापहाम्।,"Bearing veena and book, bestower of fearlessness, remover of the darkness of ignorance",Veena pustaka dharini mabhayadam jad yandhakara apaham
,,"हस्ते स्फाटिकमालिकां विदधतीं पद्मासने संस्थिताम्,","Holding a crystal rosary in her hand, seated on a lotus",Haste sphatika maalikam vidadhatim padmasane samsthitam
,,वन्दे तां परमेश्वरीं भगवतीं बुद्धिप्रदां शारदाम्॥,"I salute that supreme Goddess, the bestower of wisdom, Sharada",Vande tam Parameshvarim Bhagavatim buddhipradam Sharadam
,|| ॐ ||,,,
,,सरस्वत्यष्टकमिदं यः पठेत् शारदासन्निधौ।,This Saraswati Ashtakam — whoever reads it in the presence of Sharada,Saraswat yashtakam idam yah pathet Sharada sannidhau
,,बुद्धिं विद्यां च लभते सर्वसिद्धिं च विन्दति॥,Attains intellect and learning and obtains all perfections,Buddhim vidyam cha labhate sarva siddhim cha vindati
,|| अंत ||,,,
