line_number,section,hindi,english,roman
1.0,,"प्रथमं भारती नाम, द्वितीयं च सरस्वती।","First name is Bharati, second is Saraswati",Prathamam Bharati nama dwitiyam cha Saraswati
,,"तृतीयं शारदा देवी, चतुर्थं हंसवाहिनी॥","Third is Sharada Devi, fourth is the one riding the swan",Tritiyam Sharada Devi chaturtham Hamsa vahini
,|| ॐ ||,,,
,,"पञ्चमं जगतीख्याता, षष्ठं वागीश्वरी तथा।","Fifth is known as Jagati, sixth is Vagishwari",Panchamam jagati khyata shashtham Vagishvari tatha
,,"सप्तमं कुमुदी प्रोक्ता, अष्टमं ब्रह्मचारिणी॥","Seventh is called Kumudi, eighth is Brahmacharini",Saptamam Kumudi prokta ashtamam Brahmacharini
,|| ॐ ||,,,
,,"नवमं बुद्धिदात्री च, दशमं वरदायिनी।","Ninth is Buddhidatri, tenth is Varadayini",Navamam Buddhidatri cha dashamam Varadayini
,,"एकादशं चन्द्रकान्ता, द्वादशं भुवनेश्वरी॥","Eleventh is Chandrakanta, twelfth is Bhuvneshwari",Ekadashm Chandrakanta dvadasham Bhuvaneshvari
,|| ॐ ||,,,
,,द्वादशैतानि नामानि सरस्वत्याः शुभानि च।,These twelve auspicious names of Saraswati,Dvadashai tani namani Sarasvatyah shubhani cha
,,विद्यार्थी यः पठेन्नित्यं स सर्वज्ञो भवेद् ध्रुवम्॥,Whoever reads them daily as a student surely becomes all-knowing,Vidyarthi yah pathet nityam sa sarvagno bhaved dhruvam
,|| अंत ||,,,
