line_number,section,hindi,english,roman
1.0,,"नमो नारायणाय, नमः सत्यनारायण।","Salutations to Narayana, salutations to Satyanarayana",Namo Narayanaya namah Satya Narayana
,,"नमः श्रीपुरुषोत्तमाय, नमो वेदशिखाय ते॥","Salutations to the best of persons, salutations to you who are the crest of the Vedas",Namah Shri Purushottamaya namo Veda shikhaya te
,|| ॐ ||,,,
,,सत्यस्वरूप सत्याय सत्यव्रत परायण।,"O embodiment of truth, the Truth itself, devoted to the vow of truth",Satya svarupa satyaya satya vrata parayana
,,सत्यनारायण देव सत्यसन्धाय ते नमः॥,"O Satyanarayana, faithful to truth — salutations to you",Satya Narayana deva satya sandhaya te namah
,|| ॐ ||,,,
,,"भगवान सत्यनारायण, व्रत करते भक्त।","Lord Satyanarayana, devotees observe your vow",Bhagavan Satya Narayan vrat karte bhakt
,,"प्रसाद पाँचामृत खाते, मनोकामना पूर्ण होत॥","They eat the five-nectar prasad, and desires are fulfilled",Prasad panchaamrit khaate manokaamna poorn hot
,|| ॐ ||,,,
,,सत्यनारायणस्तोत्रं यः पठेद् भक्तितः सदा।,Whoever reads the Satyanarayana Stotram with devotion always,Satya Narayana stotram yah pathed bhaktitah sada
,,सत्यनारायणप्रसादाद् इष्टकार्यं समृध्यते॥,"By Satyanarayana's grace, desired works are accomplished",Satya Narayana prasadad ishta karyam samridhyate
,|| अंत ||,,,
