line_number,section,hindi,english,roman
1.0,,नीलाञ्जनसमाभासं रविपुत्रं यमाग्रजम्।,"Resembling collyrium in hue, son of the Sun, elder brother of Yama",Neelanjana samabhasam Ravi putram Yamagrajam
,,छायामार्तण्डसम्भूतं तं नमामि शनैश्चरम्॥,Born of Chhaya and the Sun — I bow to Saturn,Chhaya Martanda sambhutam tam namami Shanaishcharam
,|| ॐ ||,,,
,,कोणस्थः पिङ्गलो बभ्रुः कृष्णो रौद्रोऽन्तको यमः।,"He who stands in the corner, Pingala, dark-red, black, fierce, the Ender, Yama",Konasthah Pingalo Babhruh Krishno Raudro antako Yamah
,,सौरिः शनैश्चरो मन्दः पिप्पलादेन संस्तुतः॥,"Souri, Shanishchara, the slow one — praised by Pippalada",Saurih Shanishcharo Mandah Pippaladena samstutah
,|| ॐ ||,,,
,,एतानि दश नामानि प्रातरुत्थाय यः पठेत्।,Whoever reads these ten names upon rising in the morning,Etani dasha namani pratar utthaya yah pathet
,,शनैश्चरकृता पीडा न भवेत् तस्य सर्वदा॥,Shall never be tormented by Saturn at any time,Shanaishchara krita pida na bhavet tasya sarvada
,|| ॐ ||,,,
,,दशरथकृतं शनिस्तोत्रं यः पठेत् नित्यम्।,Whoever reads this Shani Stotram composed by Dasharatha daily,Dasharatha kritam Shani stotram yah pathet nityam
,,शनि दोषाद् विमुच्यते सुखमाप्नोति सर्वदा॥,Is freed from Shani dosha and always attains happiness,Shani doshat vimuchyate sukham apnoti sarvada
,|| अंत ||,,,
