line_number,section,hindi,english,roman
1.0,,वन्दे ऽहं शीतलां देवीं रासभस्थां दिगम्बराम्।,"I bow to Goddess Shitala, mounted on a donkey, sky-clad",Vande aham Shitalaam devim rasabha stham digambaram
,,मार्जनीकलशोपेतां सूर्पालंकृतमस्तकाम्॥,"Holding a broom and a pot, with head adorned by a winnowing basket",Marjanee kalasho petam surpa lankruta mastakam
,|| ॐ ||,,,
,,शीतले शीतले देवि सर्वज्वरविनाशिनि।,"O cool Goddess Shitala, destroyer of all fevers",Shitale Shitale Devi sarva jvara vinashini
,,रोगपापनिहन्त्री च सर्वामयनिवारिणी॥,"Destroyer of disease and sin, remover of all ailments",Roga papa nihantri cha sarvaaamaya nivarini
,|| ॐ ||,,,
,,"नीमपर्णप्रिये शीतले, गर्दभासन शोभने।","O Shitala fond of neem leaves, beautiful on your donkey seat",Neem parna priye Shitale Gardabha sana Shobhane
,,"शीतलाष्टमी पूजिता, सर्वरोगहरे नमः॥","Worshipped on Shitala Ashtami, remover of all diseases — salutations",Shitala ashtami pujita sarva roga hare namah
,|| ॐ ||,,,
,,शीतलाष्टकमिदं यः पठेन्नित्यं शुचिर्नरः।,Whoever reads this Shitala Ashtakam daily with purity,Shitala ashtakam idam yah pathet nityam shuchirnara
,,बालारिष्टं हरत्येव सर्वरोगं निवारयेत्॥,Removes all inauspicious conditions for children and wards off all diseases,Baala arishtam haratyeva sarva rogam nivarayet
,|| अंत ||,,,
