line_number,section,hindi,english,roman
1.0,॥दोहा॥,"जय गणेश गिरिजा सुवन, मंगल मूल सुजान। कहत अयोध्यादास तुम, देहु अभय वरदान॥","Victory to Ganesha, son of Girija, source of auspiciousness; Ayodhyadas says, grant me the boon of fearlessness","Jai Ganesh Girija Suvan, Mangal Mool Sujan, Kahat Ayodhyadas Tum, Dehu Abhay Vardan"
2.0,॥चौपाई॥,जय गिरिजापति दीनदयाला। सदा करत संतन प्रतिपाला॥,"Victory to Lord of Girija, compassionate to the humble; you always protect and care for the saints","Jai Girijapati Deen Dayala, Sada Karat Santan Pratipala"
3.0,,भाल चन्द्रमा सोहत नीके। कानन कुण्डल नागफनी के॥,The moon shines beautifully on his forehead; serpent-hood earrings adorn his ears,"Bhal Chandrama Sohat Nike, Kanan Kundal Nagphanike"
4.0,,अंग गौर शिर गंग बहाए। मुंडमाल तन क्षार लगाए॥,"His complexion is fair, Ganga flows from his head; a garland of skulls and sacred ash adorns his body","Ang Gaur Shir Gang Bahaye, Mundmaal Tan Kshar Lagaye"
5.0,,वस्त्र खाल बाघम्बर सोहे। छवि को देख नाग मन मोहे॥,Tiger-skin garments adorn him; even the serpents are enchanted seeing his beauty,"Vastra Khal Baghambar Sohe, Chhavi Ko Dekh Naag Man Mohe"
6.0,,मैना मातु की हवे दुलारी। बाम अंग सोहत छवि न्यारी॥,He is the beloved of Mother Maina; Parvati on his left side presents a unique beauty,"Maina Matu Ki Have Dulari, Bam Ang Sohat Chhavi Nyari"
7.0,,कर त्रिशूल सोहत छवि भारी। करत सदा शत्रुन क्षयकारी॥,The trident in his hand creates a magnificent vision; ever destroying enemies,"Kar Trishul Sohat Chhavi Bhari, Karat Sada Shatrun Kshaykari"
8.0,,नंदि गणेश सोहैं तहँ कैसे। सागर मध्य कमल हैं जैसे॥,Nandi and Ganesha shine beside him; like lotuses in the middle of the ocean,"Nandi Ganesh Sohen Tahan Kaise, Sagar Madhya Kamal Hain Jaise"
9.0,,कार्तिक श्याम और गणराऊ। या छवि को कहि जात न काऊ॥,"Kartikeya, Shyam and Ganesha; none can fully describe this beauty","Kartik Shyam Aur Ganrau, Ya Chhavi Ko Kahi Jaat Na Kau"
10.0,,देवन जबहीं जाय पुकारा। तब ही दुख प्रभु आप निवारा॥,Whenever the gods went and called upon you; you removed their troubles yourself,"Devan Jabhin Jay Pukara, Tab Hi Dukh Prabhu Ap Nivara"
11.0,,किया उपद्रव तारक भारी। देवन सब मिलि तुमहिं जुहारी॥,When demon Taraka wrought great destruction; all the gods bowed to you together,"Kiya Upadrav Tarak Bhari, Devan Sab Mili Tumhin Juhari"
12.0,,तुरत षडानन आप पठायउ। लव निमेष महँ मारि गिरायउ॥,You immediately sent Kartikeya (the six-faced one); who slew the demon in an instant,"Turat Shadanan Aap Pathayau, Lav Nimesh Mahan Mari Girayau"
13.0,,आप जलंधर असुर संहारा। सुयश तुम्हार विदित संसारा॥,You yourself destroyed the demon Jalandhara; your glory is known throughout the world,"Aap Jalandhar Asur Sanhara, Suyash Tumhar Vidit Sansara"
14.0,,त्रिपुरासुर सन युद्ध मचाई। सबहिं कृपा कर लीन बचाई॥,You waged war with the demon Tripurasura; and saved all by your grace,"Tripurasur San Yuddh Machai, Sabhin Kripa Kar Leen Bachai"
15.0,,किया तपहिं भागीरथ भारी। पुरब प्रतिज्ञा तासु पुरारी॥,King Bhagirath performed great penance; you Purari fulfilled his ancient vow,"Kiya Taphin Bhagirath Bhari, Purab Pratibha Tasu Purari"
16.0,,दानिन महँ तुम सम कोउ नाहीं। सेवक स्तुति करत सदाहीं॥,None among donors equals you; devotees always sing your praises,"Danin Mahan Tum Sam Kou Nahin, Sevak Stuti Karat Sadahin"
17.0,,वेद नाम महिमा तव गाई। अकथ अनादि भेद नहिं पाई॥,"The Vedas sing the glory of your name; it is indescribable, beginningless, its mystery unfathomed","Ved Naam Mahima Tav Gai, Akath Anadi Bhed Nahin Pai"
18.0,,प्रकटी उदधि मंथन में ज्वाला। जरत सुरासुर भए बिहाला॥,When churning the ocean produced fire; gods and demons were distressed,"Prakati Udadhi Manthan Mein Jwala, Jarat Surasur Bhae Bihala"
19.0,,कीन्ह दया तहँ करी सहाई। नीलकंठ तब नाम कहाई॥,You showed mercy and came to help; thus you were named Neelkantha (blue-throated),"Kinh Daya Tahan Kari Sahai, Neelkanth Tab Naam Kahai"
20.0,,पूजन रामचंद्र जब कीन्हा। जीत के लंका विभीषण दीन्हा॥,When Lord Ramachandra worshipped you; he won Lanka and gave it to Vibhishana,"Poojan Ramchandra Jab Kinha, Jeet Ke Lanka Vibhishan Dinha"
21.0,,सहस कमल मे हो रहे धारी। कीन्ह परीक्षा तबहिं पुरारी॥,"Holding a thousand lotus flowers; you then tested Ram, O Purari","Sahas Kamal Mein Ho Rahe Dhari, Kinh Pariksha Tabhin Purari"
22.0,,एक कमल प्रभु राखेउ जोई। कमल नयन पूजन चहँ सोई॥,When one lotus was hidden by you; Ram offered his own lotus-eye in devotion,"Ek Kamal Prabhu Rakheu Joi, Kamal Nayan Poojan Chahan Soi"
23.0,,कठिन भक्ति देखी प्रभु शंकर। भए प्रसन्न दिए इच्छित वर॥,"Seeing the intense devotion, Lord Shankara; was pleased and granted the desired boon","Kathin Bhakti Dekhi Prabhu Shankar, Bhae Prasann Diye Ichchhit Var"
24.0,,जय जय जय अनंत अविनाशी। करत कृपा सब के घट वासी॥,"Victory, victory, victory to the eternal and indestructible; showing mercy, dwelling in the heart of all","Jai Jai Jai Anant Avinashi, Karat Kripa Sab Ke Ghat Vasi"
25.0,,दुष्ट सकल नित मोहि सतावै। भ्रमत रहे मोहि चैन न आवै॥,"Wicked people constantly torment me; I wander restlessly, finding no peace","Dusht Sakal Nit Mohi Satavai, Bhramat Rahe Mohi Chain Na Avai"
26.0,,त्राहि-त्राहि मैं नाथ पुकारो। यहि अवसर मोहि आन उबारो॥,"I cry out ""Save me, save me, O Lord""; at this moment please come and rescue me","Trahi Trahi Main Nath Pukaro, Yahi Avasar Mohi An Ubaro"
27.0,,लै त्रिशूल शत्रुन को मारो। संकट से मोहि आन उबारो॥,Take up your trident and slay my enemies; come and deliver me from this crisis,"Lai Trishul Shatrun Ko Maro, Sankat Se Mohi An Ubaro"
28.0,,माता पिता भ्राता सब होई। संकट में पूछत नहिं कोई॥,"Though I have mother, father and brothers; in crisis none inquires after me","Mata Pita Bhrata Sab Hoi, Sankat Mein Puchhat Nahin Koi"
29.0,,स्वामी एक है आस तुम्हारी। आय हरहु अब संकट भारी॥,"O Lord, my only hope is you; come now and remove this great difficulty","Swami Ek Hai As Tumhari, Ay Harahu Ab Sankat Bhari"
30.0,,धन निर्धन को देत सदाहीं। जो कोई जाँचे सो फल पाहीं॥,You always give wealth to the poor; whoever seeks from you receives that fruit,"Dhan Nirdhan Ko Det Sadahin, Jo Koi Janche So Phal Pahin"
31.0,,अस्तुति केहि विधि करैं तुम्हारी। क्षमहु नाथ अब चूक हमारी॥,How should I praise you; forgive me Lord for my errors,"Astuti Kehi Vidhi Karain Tumhari, Kshamahu Nath Ab Chook Hamari"
32.0,,शंकर हो संकट के नाशन। मंगल कारण विघ्न विनाशन॥,"O Shankara, you are the destroyer of troubles; cause of auspiciousness and destroyer of obstacles","Shankar Ho Sankat Ke Nashan, Mangal Karan Vighna Vinashan"
33.0,,योगी यति मुनि ध्यान लगावैं। नारद शारद शीश नवावैं॥,"Yogis, ascetics and sages meditate on you; Narada and Sharada bow their heads to you","Yogi Yati Muni Dhyan Lagaven, Narad Sharad Shish Navayen"
34.0,,नमो नमो जय नमो शिवाय। सुर ब्रह्मादिक पार न पाय॥,"Salutations, salutations, victory to Shiva; even Brahma and the gods cannot fathom your extent","Namo Namo Jai Namo Shivaya, Sur Brahmaadik Par Na Paaya"
35.0,,जो यह पाठ करे मन लाई। ता पर होत है शम्भु सहाई॥,Whoever recites this with concentration; Shambhu (Shiva) becomes his helper,"Jo Yeh Path Kare Man Layi, Ta Par Hot Hai Shambhu Sahai"
36.0,,ऋनियां जो कोई हो अधिकारी। पाठ करे सो पावन हारी॥,If one is burdened by debt and wishes to be rid of it; reading this chalisa purifies and helps,"Riniya Jo Koi Ho Adhikari, Path Kare So Pavan Hari"
37.0,,पुत्र हीन कर इच्छा जोई। निश्चय शिव प्रसाद तेहि होई॥,Whoever is childless and has the desire for a son; by Shiva's grace that wish is certainly fulfilled,"Putra Hin Kar Ichhha Joi, Nishchay Shiv Prasad Tehi Hoi"
38.0,,पण्डित त्रयोदशी को लावे। ध्यान पूर्वक होम करावे॥,Invite a pandit on the thirteenth lunar day; and with full concentration perform the fire ritual,"Pandit Trayodashi Ko Lave, Dhyan Purvak Hom Karave"
39.0,,त्रयोदशी व्रत करै हमेशा। ता के तन नहिं रहे कलेशा॥,Whoever always observes the thirteenth-day fast; no affliction remains in his body,"Trayodashi Vrat Karai Hamesha, Ta Ke Tan Nahin Rahe Kalesha"
40.0,,धूप-दीप नैवेद्य चढ़ावे। शंकर सम्मुख पाठ सुनावे॥,"Offer incense, lamp and food; read the chalisa in the presence of Lord Shankara","Dhoop Deep Naivedya Chadhave, Shankar Sammukh Path Sunaave"
41.0,,जन्म-जन्म के पाप नसाबे। अंतवास शिवपुर में पाबे॥,Sins of all past births are destroyed; and in the end one attains abode in Shiva's realm,"Janm Janm Ke Pap Nasabe, Antvash Shivpur Mein Pabe"
42.0,,कहे हनुमान अब अधिकारी। जो शिव भक्त है हितकारी॥,"Hanuman says, he is deserving; who is a devotee of Shiva and beneficial to all","Kahe Hanuman Ab Adhikari, Jo Shiv Bhakt Hai Hitkari"
43.0,॥दोहा॥,"कैलास राना शिव विराजे, करत सदा आनंद। पारवती के अर्द्धांग में, शोभित शिव नित मंद॥","Lord Shiva rules on Kailash, always in bliss; Parvati graces his left side, gentle and serene","Kailas Rana Shiv Viraje, Karat Sada Anand, Parvati Ke Ardhang Mein, Shobhit Shiv Nit Mand"
,|| अंत ||,,,
