line_number,section,hindi,english,roman
1.0,,ॐ त्र्यम्बकं यजामहे सुगन्धिं पुष्टिवर्धनम्।,We worship the three-eyed Shiva who is fragrant and nourishes all beings,Om Tryambakam yajamahe sugandhim pushti vardhanam
,,उर्वारुकमिव बन्धनान् मृत्योर्मुक्षीय माऽमृतात्॥,May he liberate us from death as a cucumber from its vine — not from immortality,Urvarukamiva bandhanat mrityormukshiya mamritat
,|| ॐ ||,,,
,,रुद्राय नमः। शर्वाय नमः। पशुपतये नमः।,Salutations to Rudra. Salutations to Sharva. Salutations to Pashupati,Rudraya namah. Sharvaya namah. Pashupataye namah
,,नीलग्रीवाय नमः। शितिकण्ठाय नमः॥,Salutations to the blue-throated one. Salutations to Shitikantha,Nilagriv aya namah. Shiti kanthaya namah
,|| ॐ ||,,,
,,महामृत्युञ्जय मन्त्रं जपेन्नित्यं शुचिर्नरः।,The pure person who chants the great Mrityunjaya mantra daily,Maha mrityunjaya mantram japen nityam shuchirnara
,,मृत्योः मोचनं प्राप्नोति शिवलोकं च गच्छति॥,Attains liberation from death and goes to the world of Shiva,Mrityoh mochanam prapnoti Shivalokam cha gachcha
,|| ॐ ||,,,
,,"मृत्युञ्जयं त्रिनेत्राय, गौरीशाय नमो नमः।","Salutations to Mrityunjaya, the three-eyed one, the lord of Gauri",Mrityunjayam trinetray Gaurishaya namo namah
,,"भव भव महादेव, भवानीपतये नमः॥","O Mahadeva, be our benefactor — salutations to the lord of Bhavani",Bhava bhava Mahadeva Bhavanee pataye namah
,|| अंत ||,,,
