line_number,section,hindi,english,roman
1.0,,"नागेन्द्रहाराय त्रिलोचनाय, भस्माङ्गरागाय महेश्वराय।","To the one who wears the serpent king as garland, the three-eyed, smeared with sacred ash, the great Lord","Nagendra haraya trilochanaya, bhasmanga ragaya Maheshwaraya"
,,"नित्याय शुद्धाय दिगम्बराय, तस्मै नकाराय नमः शिवाय॥","To the eternal, pure, sky-clad one — salutations to Shiva beginning with Na","Nityaya Shuddhaya Digambaraya, tasmai Na karaya namah Shivaya"
,|| ॐ ||,,,
,,"मन्दाकिनीसलिलचन्दनचर्चिताय, नन्दीश्वरप्रमथनाथमहेश्वराय।","Anointed with Mandakini water and sandal paste, the great Lord, master of Nandi and the Pramatha hosts","Mandakini salila chandana charchitaya, Nandishvara pramatha natha Maheshwaraya"
,,"मन्दारपुष्पबहुपुष्पसुपूजिताय, तस्मै मकाराय नमः शिवाय॥",Worshipped with Mandara and many flowers — salutations to Shiva beginning with Ma,"Mandara pushpa bahu pushpa supujitaya, tasmai Ma karaya namah Shivaya"
,|| ॐ ||,,,
,,शिवाय गौरीवदनारविन्दसूर्याय दक्षाध्वरनाशकाय।,"To Shiva who is like the sun to the lotus-face of Gauri, who destroyed the sacrifice of Daksha","Shivaya Gauri vadana aravinda suryaya, Dakshadhvara nashakaya"
,,"श्रीनीलकण्ठाय वृषध्वजाय, तस्मै शिकाराय नमः शिवाय॥",To the auspicious blue-throated one with bull as his emblem — salutations to Shiva beginning with Shi,"Shri Neelakanthaya vrisha dhvajaya, tasmai shi karaya namah Shivaya"
,|| ॐ ||,,,
,,"वसिष्ठकुम्भोद्भवगौतमार्य, मुनीन्द्रदेवार्चितशेखराय।","Whose crest is worshipped by the greatest sages — Vasishtha, Agastya, Gautama and others","Vasishtha kumbhodbhava Gautamarya, munindra devarchita shekharaya"
,,"चन्द्रार्कवैश्वानरलोचनाय, तस्मै वकाराय नमः शिवाय॥","Whose eyes are the moon, sun and fire — salutations to Shiva beginning with Va","Chandraarka vaishwanara lochanaya, tasmai Va karaya namah Shivaya"
,|| ॐ ||,,,
,,पञ्चाक्षरमिदं पुण्यं यः पठेत् शिवसन्निधौ।,"This sacred five-syllable hymn, whoever reads it in the presence of Shiva",Panchaksharam idam punyam yah pathet shiva sannidhau
,,शिवलोकमवाप्नोति शिवेन सह मोदते॥,Attains the realm of Shiva and rejoices with Shiva,Shivalokam avapnoti shivena saha modate
,|| अंत ||,,,
