line_number,section,hindi,english,roman
1.0,,"प्रभुं प्राणनाथं विभुं विश्वनाथं,","The Lord, master of vital breath, all-pervading, lord of the universe",Prabhum Prana natham vibhum Vishva natham
,,जगन्नाथनाथं सुरेशं परेशम्।,"The master of Jagannatha, lord of gods, the supreme",Jagannatha natham Suresham Paresham
,,"त्रयीतत्त्वमेकं जगद्व्यापकं तं,","The one truth of the three Vedas, pervading the world",Trayi tattvam ekam jagad vyapakam tam
,,महादेवमीडे भवं शंकरं च॥,"I praise the great Mahadeva, Bhava and Shankara",Maha devam ide Bhavam Shankara cha
,|| ॐ ||,,,
,,"गले रुण्डमालं तनौ सर्पजालं,","With a skull garland at the throat, a network of serpents on the body",Gale runda malam tanau sarpa jalam
,,महाकालकालं गणेशाधिपालम्।,"The great death of death, the protector and lord of Ganesha",Mahakala kalam Ganesha dhipalam
,,"जटाजूटभङ्गोत्थितां गाङ्गवारि,",The Ganga water that arose from the parting of matted locks,Jatajuta bhango tthitam Ganga vari
,,महादेवमीडे भवं शंकरं च॥,"I praise the great Mahadeva, Bhava and Shankara",Maha devam ide Bhavam Shankaram cha
,|| ॐ ||,,,
,,शिवाष्टकमिदं पुण्यं यः पठेद् भक्तिसंयुतः।,This sacred Shiva Ashtakam — whoever reads it with devotion,Shiva ashtakam idam punyam yah pathed bhakti samyutah
,,शिवलोकमवाप्नोति शिवेन सह मोदते॥,Attains the world of Shiva and rejoices together with Shiva,Shivalokam avapnoti Shivena saha modate
,|| अंत ||,,,
