line_number,section,hindi,english,roman
1.0,,शिरो मे शङ्करः पातु ललाटं चन्द्रशेखरः।,"May Shankara protect my head, may Chandrashekhara protect my forehead",Shiro me Shankarah patu lalaTam chandra shekharah
,,नेत्रे मे पातु त्र्यम्बकः श्रोत्रे सर्वेश्वरः।,"May Tryambaka protect my eyes, may Sarveshwara protect my ears",Netre me patu Tryambakah Shrotre Sarveshvarah
,|| ॐ ||,,,
,,मुखं मे पातु पशुपतिः कण्ठं नीलकण्ठकः।,"May Pashupati protect my mouth, may Neelakantha protect my throat",Mukham me patu Pashupati kaNtham Neelaakanthakah
,,बाहू मे पातु भगवान् हस्तौ पिनाकधारकः।,"May the Lord protect my arms, may Pinakadhara protect my hands",Bahoo me patu Bhagavan hastau Pinaaka dhaarakah
,|| ॐ ||,,,
,,हृदयं शंकरः पातु कुक्षिं गिरीशकः।,"May Shankara protect my heart, may Girishaka protect my abdomen",Hridayam Shankarah patu kukshim Girishakah
,,नाभिं च पातु सर्वेशो लिंगं मे गुह्यपालकः।,"May Sarvesa protect my navel, may Guhyapalaka protect my private parts",Nabhim cha patu Sarvesha lingam me Guhya palakah
,|| ॐ ||,,,
,,"सर्वांगं मे महादेवः, पातु मूर्तिं त्रिलोचनः।","May Mahadeva protect all my limbs, may the three-eyed one protect my form",Sarvangam me Mahadevaah patu Murthim Tri lochanah
,,"शिवकवचं पठेन्नित्यं, शिवलोकं स गच्छति॥",Whoever reads the Shiva Kavach daily goes to the world of Shiva,Shivakavacham pathen nityam Shivalokam sa gachchhati
,|| अंत ||,,,
