line_number,section,hindi,english,roman
1.0,,रामाय रामभद्राय रामचन्द्राय वेधसे।,"To Rama, to Ramabhadra, to Ramachandra the creator",Ramaya Ramabhadraya Ramachandraya vedhase
,,रघुनाथाय नाथाय सीतायाः पतये नमः॥,"To Raghunatha the lord, husband of Sita — salutations",Raghunathaya nathaya Sitayah pataye namah
,|| ॐ ||,,,
,,"शिवं राममयं वन्दे, रामं शिवमयं भजे।","I salute Shiva who is full of Rama, I worship Rama who is full of Shiva",Shivam Ramamayam vande Ramam Shivamayam bhaje
,,"शिवरामाभेदात् मुक्तिः, शिवराम परायण॥","Liberation from the non-difference of Shiva-Rama, devoted to Shiva-Rama",Shiva Rama abhedat muktih Shiva Rama parayana
,|| ॐ ||,,,
,,"रामेश्वरं महादेवं, शिवलिङ्गं सेतुबन्धे।","Lord Rameshwara Mahadeva, the Shivalinga at the Setubandha",Rameshvaram Mahadevam Shivalingam Setubandhe
,,"तं रामेश्वरं वन्दे, राम-शिव-परायणम्॥",I salute that Rameshwara devoted to both Ram and Shiva,Tam Rameshvaram vande Rama-Shiva-parayanam
,|| ॐ ||,,,
,,शिवरामाष्टकमिदं यः पठेद् भक्तिसमन्वितः।,Whoever reads this Shiva Ramastakam with devotion,Shiva Rama ashtakam idam yah pathed bhakti samanvitah
,,शिवलोकं च रामस्य धाम प्राप्नोति निश्चितम्॥,Certainly attains the world of Shiva and the abode of Rama,Shivalokam cha Ramasya dhama prapnoti nishchitam
,|| अंत ||,,,
