line_number,section,hindi,english,roman
1.0,,शिव शम्भु महाशम्भु शंकर सर्वकारण।,"Shiva, Shambhu, Mahashambhu, Shankara, cause of all",Shiva Shambhu Mahashambhu Shankara sarva karana
,,ईशान महेश्वर महादेव उमापति॥,"Ishana, Maheshwara, Mahadeva, Umapati",Ishana Maheshwara Mahadeva Umapati
,|| ॐ ||,,,
,,"नमः शिवाय नमः शम्भवाय, नमो भवाय च।","Salutations to Shiva, to Shambhu, salutations to Bhava",Namah Shivaya namah Shambhavaya namo Bhavaya cha
,,"नमो महादेवाय, नमश्चण्डाय वः शिवः॥","Salutations to Mahadeva, salutations to the fierce Shiva",Namo Maha devaya namashchandaya vah Shivah
,|| ॐ ||,,,
,,"पिनाकिने नमः, धन्वने नमः।","Salutations to the wielder of the Pinaka bow, salutations to the bow-bearer",Pinakine namah dhanvane namah
,,"नमः क्रतुघ्ने नमः, कपर्दिने नमः॥","Salutations to the destroyer of sacrifices, salutations to the matted-haired one",Namah kratugh ne namah Kapardine namah
,|| ॐ ||,,,
,,शिवसहस्रनामस्तोत्रं यः पठेन्नित्यमाद्रतः।,Whoever reads the Shiva Sahasranama Stotram daily with reverence,Shiva sahasranama stotram yah pathet nityam adratah
,,शिवसायुज्यमाप्नोति सर्वपापात् प्रमुच्यते॥,Attains union with Shiva and is freed from all sins,Shiva sayujyam apnoti sarva papat pramuchyate
,|| अंत ||,,,
