line_number,section,hindi,english,roman
1.0,,"जगज्जालपालं चलत्कण्ठमालं,","Sustainer of the world-web, with a moving garland at his throat",Jagajjala palam chalat kantha malam
,,शरच्चन्द्रभालं महादैत्यकालम्।,"Whose forehead shines like the autumn moon, the destroyer of great demons",Sharacchandra bhalam maha daityakalam
,,"नभोनीलकायं दुरावारमायं,","Whose body is blue as the sky, whose Maya is difficult to cross",Nabho nila kayam dura vara mayam
,,सुपद्मासहायं भजेऽहं भजेऽहम्॥,"Who is accompanied by the beautiful Lakshmi — I worship, I worship",Supaddha sahayam bhajeham bhajeham
,|| ॐ ||,,,
,,"सुरालीबलिष्ठं त्रिलोकीगरिष्ठं,","Most powerful among the gods, most revered in the three worlds",Surali balishtham tri loki garishtham
,,गुरुग्रामवासं भवाब्धावकासम्।,"Dwelling in the village of the Guru, abiding in the ocean of existence",Guru grama vasam bhavaabdha vakasam
,,"भुजानां त्रिभागं भवच्छेदभागं,",Whose three portions of arms — the remover of worldly bonds,Bhujanam tri bhagam bhavaccheda bhagam
,,स्वभक्त्यावधानं भजेऽहं भजेऽहम्॥,"Attentive to the devotion of his devotees — I worship, I worship",Sva bhaktya avadhaanam bhajeham bhajeham
,|| ॐ ||,,,
,,"इदं यः पठेत्क्षीरशायिस्तवं यो,",Whoever reads this hymn to the one resting in the milk ocean,Idam yah pathet kshira shayis tavam yo
,,मुकुन्दं मुरारिं हरिं नारमेव।,"Mukunda, Murari, Hari, Nara itself",Mukundam Muraarim Harim Narameva
,,"स याति विष्णोः परं धाम कृष्णं,","He goes to the supreme abode of Vishnu, Krishna",Sa yati Vishno param dhaama Krishnam
,,श्रिया साकमन्ते मुदं चापि पुण्यात्॥,"And at the end, through merit, he attains joy together with Lakshmi",Shriya sakam ante mudam chapi punyat
,|| अंत ||,,,
