line_number,section,hindi,english,roman
1.0,,नमस्ते रुद्र मन्यव उतो त इषवे नमः।,"Salutations to your anger O Rudra, and salutations to your arrow",Namaste Rudra manyava uto ta ishave namah
,,नमस्ते अस्तु धन्वने बाहुभ्यामुत ते नमः॥,"Salutations to your bow, salutations to your two arms",Namaste astu dhanvane bahubhyam uta te namah
,|| ॐ ||,,,
,,या त इषुः शिवतमा शिवं बभूव ते धनुः।,Your arrow which is most auspicious — your bow has become auspicious,Ya ta ishah shivataama shivam babhuvate dhanuh
,,शिवा शरव्या या तव तया नो रुद्र मृडय॥,Auspicious is your quiver as well — with that O Rudra be gracious to us,Shiva sharavya ya tava taya no Rudra mridaya
,|| ॐ ||,,,
,,नमस्ते अस्तु भगवः विश्वेश्वराय महादेव।,"Salutations to you O blessed one, O Vishweshwara, O Mahadeva",Namaste astu Bhagavah Vishveshwaraya Mahadeva
,,त्र्यम्बकाय त्रिपुरान्तकाय त्रिकालाग्निकालाय॥,"To the three-eyed, destroyer of Tripura, fire of the three times",Tryambakaya Tripuran takaya Trikalagni kalaya
,|| ॐ ||,,,
,,"ते नो रुद्र महागुरो, रक्ष त्वं भक्तवत्सल।","O great Guru Rudra, protect us, O affectionate to devotees",Te no Rudra Mahaguro Raksha tvam bhakta vatsala
,,"ॐ नमः शिवाय शान्ताय, सर्वजगद्धिताय च॥","Om, salutations to the peaceful Shiva, the benefactor of all the world",Om namah Shivaya shantaya sarva jagad hitaya cha
,|| अंत ||,,,
