line_number,section,hindi,english,roman
1.0,,ॐ हिरण्यवर्णां हरिणीं सुवर्णरजतस्रजाम्।,"Om — Golden-hued, beautiful, wearing garlands of gold and silver",Om Hiranyavarnam Harenim suvarna rajata srajam
,,चन्द्रां हिरण्मयीं लक्ष्मीं जातवेदो म आवह॥,"The moon-like, golden Lakshmi — O Jatavedas, bring her to me",Chandram hiranyamayim Lakshmim Jatavedo ma avaha
,|| ॐ ||,,,
,,तां म आवह जातवेदो लक्ष्मीमनपगामिनीम्।,"Bring that Lakshmi to me O Jatavedas, she who never departs",Taam ma avaha Jatavedo Lakshmimanapagaminim
,,यस्यां हिरण्यं विन्देयं गामश्वं पुरुषानहम्॥,"In whom I find gold, cattle, horses and men",Yasyam hiranyam vindeyam gam ashvam purush anaham
,|| ॐ ||,,,
,,अश्वपूर्वां रथमध्यां हस्तिनादप्रबोधिनीम्।,"She who is preceded by horses, surrounded by chariots, who awakens to the sound of elephants",Ashva purvam ratha madhyam hastinada prabodhinim
,,श्रियं देवीमुपह्वये श्रीर्मा देवी जुषताम्॥,I invoke Goddess Sri — may the Goddess Sri delight in me,Shriyam Devim upahvaye Shrir ma Devi jushatam
,|| ॐ ||,,,
,,कांसोस्मितां हिरण्यप्राकारामार्द्रां ज्वलन्तीं तृप्तां तर्पयन्तीम्।,"She who is gold in hue, moist with grace, blazing, satisfied and satisfying",Kam so smitam hiranya prakaram ardram jvalantim triptam tarpayantim
,,पद्मे स्थितां पद्मवर्णां तामिहोपह्वये श्रियम्॥,"Standing on a lotus, lotus-complexioned — I invoke here that Sri",Padme sthitam padma varnam tam ihopahvaye shriyam
,|| अंत ||,,,
