line_number,section,hindi,english,roman
1.0,,ॐ सिद्धलक्ष्म्यै नमः। नमस्ते सिद्धिदे देवि सिद्धिं देहि च मे सदा।,"Om, salutations to Siddhi Lakshmi. Salutations O Goddess who grants powers — grant me powers always",Om Siddhi Lakshmyai namah. Namaste siddhide Devi siddhim dehi cha me sada
,,सर्वसिद्धिप्रदे माता नमस्ते विजयप्रदे॥,"O Mother who grants all powers, salutations, O giver of victory",Sarva siddhi prade mata namaste vijaya prade
,|| ॐ ||,,,
,,अणिमाद्यष्टसिद्धीनां दात्री त्वं महेश्वरि।,"You are the giver of the eight powers beginning with Anima, O Maheshwari",Anima adyashtha siddhinam datri tvam Maheshvari
,,सर्वसिद्धिप्रदे देवि सिद्धिदे सिद्धिरूपिणि॥,"O Goddess who grants all powers, giver of powers, of the form of power itself",Sarva siddhi prade Devi siddhide siddhi rupini
,|| ॐ ||,,,
,,अणिमा लघिमा च महिमा प्राप्तिरेव च।,"Anima (miniaturisation), Laghima (lightness), Mahima (expansion), Prapti (attainment)",Anima laghima cha mahima praptir eva cha
,,प्राकाम्यं च तथेशित्वं वशित्वं च कामरूपिता॥,"Prakamya (irresistible will), Ishitva (mastery), Vashitva (control), and Kamarupita (assuming any form)",Prakamyam cha tatheshitvam vashitvam cha kama rupita
,|| ॐ ||,,,
,,सिद्धिलक्ष्मीस्तोत्रमिदं यः पठेन्नित्यमादरात्।,This Siddhi Lakshmi Stotram — whoever reads it daily with reverence,Siddhi Lakshmi stotram idam yah pathet nityam adarat
,,अष्टसिद्धिं च लभते नवनिधिं च विन्दति॥,Attains the eight powers and obtains the nine treasures,Ashta siddhim cha labhate nava nidhim cha vindati
,|| अंत ||,,,
