line_number,section,hindi,english,roman
1.0,,"न जानामि शब्दं न जानामि चार्थं,","I know not the word, I know not the meaning",Na janami shabdam na janami chartham
,,न जानामि पद्यं न जानामि गद्यम्।,"I know not poetry, I know not prose",Na janami padyam na janami gadyam
,,"चिदेकास्वरूपस्य शम्भोः कुमार,","O Kumar, son of Shambhu whose nature is pure consciousness",Chideka svarupasya Shambhoh Kumara
,,क्षमस्वापराधं प्रभो पाहि मुरारे॥,"Forgive my shortcomings, O Lord, protect me, O Murari",Kshamasva aparadham Prabho pahi Murare
,|| ॐ ||,,,
,,"सुरेशादिसेव्याङ्घ्रिपद्मो भवेयं,",May I become one who is worthy to serve your lotus feet worshipped by Indra and all gods,Suresha di sevya anghri padmo bhaveyam
,,शिवस्यापि सेव्यः शिखिवाहनोऽसि।,"You are the one served even by Shiva, you ride the peacock",Shivasya api sevyah shikhi vahano asi
,,"षडाधारचक्रे दलाम्भोजसंस्थे,",Established in the lotus petals of the six base chakras,Shadadhara chakre dala ambhoja samsthe
,,नमः षण्मुखाय प्रभो पाहि मुरारे॥,"Salutations to the six-faced one, O Lord, protect me, O Murare",Namah Shanmukhaya Prabho pahi Murare
,|| ॐ ||,,,
,,"जयानन्दभूमे जय प्रेमधामे,","Victory to the abode of joy, victory to the abode of love",Jaya nanda bhume jaya prema dhame
,,जय योगिहृद्ध्येयपादारविन्द।,Victory to the lotus feet meditated upon in the hearts of yogis,Jaya yogi hrid dhyeya padaaravinda
,,"जय क्षिप्रकारिन् जय दीर्घबाहो,","Victory to the swift doer, victory to the long-armed one",Jaya kshipra karin jaya dirgha baho
,,जय द्वादशाक्ष प्रभो पाहि मुरारे॥,"Victory to the twelve-eyed one, O Lord protect me, O Murare",Jaya dvadash aksha Prabho pahi Murare
,|| अंत ||,,,
