line_number,section,hindi,english,roman
1.0,,आदिदेव नमस्तुभ्यं प्रसीद मम भास्कर।,"Salutations to you, O primal god — be gracious to me, O sun",Adideva namastubhyam prasida mama Bhaskara
,,दिवाकर नमस्तुभ्यं प्रभाकर नमोऽस्तु ते॥,"Salutations to the day-maker, salutations to the light-maker",Divakara namastubhyam Prabhakara namostu te
,|| ॐ ||,,,
,,सप्ताश्वरथमारूढं प्रचण्डं कश्यपात्मजम्।,"Mounted on a chariot of seven horses, blazing, son of Kashyapa",Sapta ashva ratha marudam prachandam Kashyapatmajam
,,श्वेतपद्मधरं देवं तं सूर्यं प्रणमाम्यहम्॥,The god who holds a white lotus — I bow to that Sun,Shweta padma dharam devam tam Suryam pranamamyaham
,|| ॐ ||,,,
,,लोहितं रथमारूढं सर्वलोकपितामहम्।,"Red-hued, mounted on a chariot, the grandfather of all worlds",Lohitam ratha marudham sarva loka pitamaham
,,महापापहरं देवं तं सूर्यं प्रणमाम्यहम्॥,The divine remover of great sins — I bow to that Sun,Maha papa haram devam tam Suryam pranamamyaham
,|| ॐ ||,,,
,,सूर्याष्टकं यः पठेत् नित्यं गृहे तिष्ठन् सुखान्वितः।,"Whoever reads this Suryashtakam daily, dwelling happily at home",Surya ashtakam yah pathet nityam grihe tishthan sukhanvitah
,,सर्वपापविनिर्मुक्तो रोगमुक्तः सुखी भवेत्॥,Is freed from all sins and diseases and becomes happy,Sarva papa vinirmukto roga mukta sukhi bhavet
,|| अंत ||,,,
