line_number,section,hindi,english,roman
1.0,,"नमः सवित्रे जगदेककक्षुषे, जगत्प्रसूतिस्थितिनाशहेतवे।","Salutations to Savitr, the single eye of the world, the cause of the world's creation, sustenance and dissolution",Namah savitre jagad eka chakshuse jagat prasuti sthiti nasa hetave
,,"त्रयीमयाय त्रिगुणात्मधारिणे, विरञ्चिनारायणशंकरात्मने॥","To the one who is the three Vedas, who sustains the three gunas, who is Brahma, Narayana and Shankara in one",Trayimayaya trigunaat madharine viranchinarayana Shankaratmane
,|| ॐ ||,,,
,,"अष्टाश्ववाहनसहस्रकिरणप्रभेन्द्र, विद्राविणे वरद भास्कराय ते नमः।","O Lord of eight horses, of thousand rays, the supreme light, who drives away all, boon-giving Bhaskara — salutations",Ashta ashva vahana sahasra kirana prabh endra vidravine varada Bhaskaraya te namah
,,"भीतिप्रदं तमसिजातमहन्धकारं, हन्तुं समर्थ उदयाचलमाश्रयामि॥",I take refuge in the eastern mountain (the rising sun) who is capable of destroying the dense darkness born in fear,Bhiti pradam tamasi jata mahad dhakaram hantum samartha udaya achalam ashrayami
,|| ॐ ||,,,
,,"ब्रह्मा मुरारिस्त्रिपुरान्तकारी, भानुः शशी भूमिसुतो बुधश्च।","Brahma, Murari, the destroyer of Tripura, the Sun, Moon, son of Earth (Mars), Mercury",Brahma Muraris Tripurantakari Bhanuh shashi bhumi suto Budhashcha
,,"गुरुश्च शुक्रः शनिराहुकेतवः, सर्वे ग्रहाः शान्तिकरा भवन्तु॥","Jupiter, Venus, Saturn, Rahu and Ketu — may all planets bring peace",Gurushcha Shukrah Shani Rahu ketavah sarve grahah shanti kara bhavantu
,|| ॐ ||,,,
,,"सूर्यमण्डलाष्टकमिदं पठेद् यो, रोगाद् विमुच्येत स सर्वदुःखात्।",Whoever reads this Surya Mandala Ashtakam is freed from disease and all sorrow,Surya mandalaa shtakam idam pathed yo rogad vimuchyeta sa sarva duhkhat
,,"सौरं हि मण्डलमिदं नियमेन पठ्यं, सूर्यस्य लोकमखिलं स जयेत् सुरेशम्॥",This solar disc stotra read regularly — one conquers all the worlds of the sun and Surya the lord of gods,Souram hi mandalam idam niyamena pathyam Suryasya lokam akhilam sa jayet Suresham
,|| अंत ||,,,
