line_number,section,hindi,english,roman
1.0,,"पशूनां पतिं पापनाशं परेशं,","Lord of all beings, destroyer of sins, the supreme Lord",Pashunaam patim papa nasham paresham
,,गजेन्द्रस्य कृत्तिं वसानं वरेण्यम्।,"Wearing the skin of the elephant-king, the most excellent one",Gajendrasya krittim vasanam varenyam
,,"जटाजूटमध्ये स्फुरद्गाङ्गवारि,",With the Ganga waters gleaming in his matted locks,Jatajuta madhye sphurad ganga vari
,,महादेवमेकं स्मरामि स्मरारिम्॥,"I remember the one great Mahadeva, the enemy of Cupid",Maha devam ekam smarami Smaraarim
,|| ॐ ||,,,
,,"महेशं सुरेशं सुरारातिनाशं,","The great Lord, lord of gods, destroyer of the enemies of gods",Mahesham Suresham surariti nasham
,,विभुं विश्वनाथं विभूत्यङ्गभूषम्।,"The all-pervading Lord of the Universe, adorned with sacred ash",Vibhum Vishva Natham vibhutya anga bhusham
,,"विरूपाक्षमिन्द्वर्कवह्नित्रिनेत्रं,","Three-eyed Virupaksha whose three eyes are moon, sun and fire",Virupaksha mindvarkami vahni trinetram
,,सदानन्दमीडे प्रभुं पञ्चवक्त्रम्॥,I praise the eternally blissful Lord with five faces,Sada nandamide prabhum pancha vaktram
,|| ॐ ||,,,
,,"गिरीशं गणेशं गले नीलवर्णं,","The Lord of mountains, Lord of Ganas, with a blue throat",Girisham Ganesham gale nila varnam
,,गवेन्द्राधिरूढं गुणातीतरूपम्।,"Mounted on the bull-king, of a form beyond all qualities",Gavendra dhirudham gunatita rupam
,,"भवं भास्वरं भस्मना भूषितांगं,","Being itself, radiant, with a body adorned with sacred ash",Bhavam bhasvaram Bhasmana bhushitangam
,,भवानीकलत्रं भजे पञ्चवक्त्रम्॥,With Bhavani as his consort — I worship the five-faced Lord,Bhavani kalatram bhaje pancha vaktram
,|| अंत ||,,,
