line_number,section,hindi,english,roman
1.0,,श्रियः कान्ताय कल्याणनिधये निधयेऽर्थिनाम्।,"To the beloved of Lakshmi, treasure of auspiciousness, treasure for those who seek",Shriyah kantaya kalyana nidhaye nidhaye arthinam
,,श्रीवेङ्कटनिवासाय श्रीनिवासाय मंगलम्॥,"Auspiciousness to Shri Venkatesha who dwells at Venkata, to Shrinivasa",Shri Venkata nivasaya Shrinivasaya mangalam
,|| ॐ ||,,,
,,क्षमां दयां च सौम्यत्वं मधुरां वाणिमेव च।,"Patience, compassion, gentleness and sweet speech",Kshamam dayam cha saumyatvam madhu ram vanim eva cha
,,पाटवं च कृपामिश्रं दधाते वेङ्कटेश्वरः॥,Skill and compassion mixed together — these Venkatesha bears,Patavam cha kripa mishram dadhate Venkatesha rah
,|| ॐ ||,,,
,,"तिरुपति वेङ्कटेशाय, बालाजी नमो नमः।","To Tirupati Venkatesha, to Balaji — salutations",Tirupati Venkateshaaya Balaji namo namah
,,"सप्तगिरि निवासाय, श्रीनिवास नमो नमः॥","To the dweller of the seven hills, to Shrinivasa — salutations",Sapta giri nivasaya Shrinivasa namo namah
,|| ॐ ||,,,
,,वेङ्कटेशस्तोत्रमिदं यः पठेद् भक्तितः सदा।,Whoever reads this Venkatesha Stotram with devotion always,Venkatesha stotram idam yah pathed bhaktitah sada
,,श्रीनिवासप्रसादाद् बहुत्वं सम्पदं लभेत्॥,By the grace of Shrinivasa attains abundance and prosperity,Shrinivasa prasadat bahtvam sampadam labhet
,|| अंत ||,,,
