line_number,section,hindi,english,roman
1.0,,कौसल्या सुप्रजा राम पूर्वासन्ध्या प्रवर्तते।,"O Rama, noble son of Kaushalya, the eastern dawn is breaking",Kaushalya supraja Rama purva sandhya pravartate
,,उत्तिष्ठ नरशार्दूल कर्तव्यं दैवमाह्निकम्॥,Arise O tiger among men — your divine daily duties await,Uttishtha nara shardula kartavyam daivam ahnikam
,|| ॐ ||,,,
,,उत्तिष्ठोत्तिष्ठ गोविन्द उत्तिष्ठ गरुडध्वज।,"Arise, arise O Govinda, arise O Garuda-bannered one",Uttishtha uttishtha Govinda uttishtha Garuda dhvaja
,,उत्तिष्ठ कमलाकान्त त्रैलोक्यं मंगलं कुरु॥,"Arise O beloved of Lakshmi, bestow auspiciousness on all three worlds",Uttishtha kamala kanta trailokyam mangalam kuru
,|| ॐ ||,,,
,,"मातः समस्तजगतां मधुकैटभारे,","O Mother of all worlds, O enemy of Madhu and Kaitabha",Matah samasta jagatam madhu Kaitabha are
,,वक्षःस्थले विहरसि ह्यमरार्चितांघ्रि।,You dwell on his chest worshipping the feet adored by gods,Vakshah sthale viharasi hya mararchitanghri
,,"वेङ्कटनाथस्य परमं पदमेतदुक्तं,",This supreme abode of Venkatanatha is declared,Venkata nathasya paramam padam etad uktam
,,श्रीवेङ्कटेशसुप्रभातमिदं शृणोतु॥,May this Venkatesha Suprabhatam be heard,Shri Venkatesha suprabhatam idam shrinootu
,|| ॐ ||,,,
,,वेङ्कटेशसुप्रभातं यः पठेद् भक्तिसंयुतः।,Whoever reads the Venkatesha Suprabhatam with devotion,Venkatesha suprabhatam yah pathed bhakti samyutah
,,तिरुपतिं प्राप्नुयात् नित्यं वेङ्कटेशस्य दर्शनम्॥,Attains Tirupati and always receives the darshan of Venkatesha,Tirupatim prapnuyat nityam Venkate shasya darshanam
,|| अंत ||,,,
