line_number,section,hindi,english,roman
1.0,,"प्रलयपयोधिजले धृतवानसि वेदं, विहितवहित्रचरित्रमखेदम्।","You carried the Vedas in the waters of the final deluge, your boat-like acts effortlessly done",Pralaaya payodhi jale dhrita vaanasi Vedam vihita vahitra charitram akhedam
,,केशव धृतमीनशरीर जय जगदीश हरे॥,"O Keshava who assumed the fish form — victory to the Lord of the universe, O Hari",Keshava dhrita mina sharira jaya jagadisha Hare
,|| ॐ ||,,,
,,"क्षितिरतिविपुललस्तव तिष्ठति पृष्ठे, धरणिधरणकिणचक्रगरिष्ठे।","The earth rests on your vast back, hard as a quiver from bearing the world",Kshitir ati vipula lasta va tishthati prushthe dharani dharana kina chakra garishtham
,,केशव धृतकच्छपरूप जय जगदीश हरे॥,O Keshava who assumed the tortoise form — victory to the Lord of the universe,Keshava dhrita kachchhapa rupa jaya jagadisha Hare
,|| ॐ ||,,,
,,"नरहरि दरहर सरोजमुखमनिशं, दरहर पयोधर निजकर सरोजम्।","O Narahari, constantly bear the lotus-face, holding the ocean of milk in your own lotus hands",Nara hari dara hara saroja mukham anisham dara hara payo dhara nija kara sarojam
,,केशव धृतनरहरिरूप जय जगदीश हरे॥,O Keshava who assumed the man-lion form — victory to the Lord of the universe,Keshava dhrita nara hari rupa jaya jagadisha Hare
,|| ॐ ||,,,
,,"श्री जयदेवकवेरिदमुदितमुदारं, शृणु सुखदं शुभदं भवसारम्।","This composition of the poet Jayadeva is noble — hear it, it gives happiness, auspiciousness and the essence of existence",Shri Jayadeva kaveir idam uditam udaram shrinu sukhad am shubhadam bhava saram
,,केशव धृत दशविधरूप जय जगदीश हरे॥,O Keshava who assumed ten forms — victory to the Lord of the universe,Keshava dhrita dasha vidha rupa jaya jagadisha Hare
,|| अंत ||,,,
