line_number,section,hindi,english,roman
1.0,,"नमो नारायणाय, नमो नारायणाय।","Salutations to Narayana, salutations to Narayana",Namo Narayanaya namo Narayanaya
,,नमो नारायणाय नमो केशवाय नमः॥,"Salutations to Narayana, salutations to Keshava",Namo Narayanaya namo Keshavaya namah
,|| ॐ ||,,,
,,नमः कमलनाभाय नमो माधवाय।,"Salutations to Padmanabha, salutations to Madhava",Namah kamala nabhaya namo Madhavaya
,,नमो मधुसूदनाय नमस्त्रिविक्रम॥,"Salutations to Madhusudana, salutations to Trivikrama",Namo Madhusudanaya namas Trivikrama
,|| ॐ ||,,,
,,नमो वामनाय नमः श्रीधराय।,"Salutations to Vamana, salutations to Shridhara",Namo Vamanaya namah Shridharaya
,,नमो हृषीकेशाय नमः पद्मनाभाय॥,"Salutations to Hrishikesha, salutations to Padmanabha",Namo Hrishikeshaya namah Padmanabhaya
,|| ॐ ||,,,
,,विष्णोर्नामाष्टकं यः पठेन्नित्यं भक्तितः शुचिः।,Whoever reads these eight names of Vishnu daily with devotion and purity,Vishnor nama ashtakam yah pathet nityam bhaktitah shuchihi
,,वैकुण्ठधामनिलयं प्राप्नोति परमं पदम्॥,"Attains the abode of Vaikuntha, the supreme state",Vaikuntha dhama nilayam prapnoti paramam padam
,|| अंत ||,,,
