line_number,section,hindi,english,roman
1.0,,शुक्लाम्बरधरं विष्णुं शशिवर्णं चतुर्भुजम्।,"He who wears white garments, all-pervading Vishnu, moon-complexioned, four-armed",Shuklambara dharam Vishnum shashi varnam chaturbhujam
,,प्रसन्नवदनं ध्यायेत् सर्वविघ्नोपशान्तये॥,With a serene face to be meditated upon for the removal of all obstacles,Prasannavadanam dhyayet sarva vighnoopashantaye
,|| ॐ ||,,,
,,यस्य द्विरदवक्त्राद्याः पारिषद्याः परः शतम्।,He whose attendants beginning with Ganesha number more than a hundred,Yasya dwirada vaktryadyah paarishadyah parah shatam
,,विघ्नं निघ्नन्ति सततं विष्वक्सेनं तमाश्रये॥,Who constantly remove obstacles — I take refuge in that Vishwaksena (Vishnu),Vighnam nighnanti satatam Vishvaksenam tamashraye
,|| ॐ ||,,,
,,व्यासं वशिष्ठनप्तारं शक्तेः पौत्रमकल्मषम्।,"Vyasa, grandson of Vasishtha, grandson of Shakti, the pure one",Vyasam vashishthanaptaram shakteh pautramakalmassham
,,पराशरात्मजं वन्दे शुकतातं तपोनिधिम्॥,"I bow to the son of Parashara, father of Shuka, treasure of austerity",Parasharatmajam vande shukatantam taponidhim
,|| ॐ ||,,,
,,विश्वं विष्णुर्वषट्कारो भूतभव्यभवत्प्रभुः।,"The universe, Vishnu, the Vashat-kara, Lord of past present and future",Vishvam Vishnur Vashat karo bhuta bhavya bhavat prabhuh
,,भूतकृद्भूतभृद्भावो भूतात्मा भूतभावनः।,"Creator of beings, sustainer of beings, the being itself, soul of beings, origin of beings",Bhutakrid bhutabhrid bhavo bhutatma bhutabhavanah
,|| ॐ ||,,,
,,पूतात्मा परमात्मा च मुक्तानां परमा गतिः।,"The pure soul, the Supreme Soul, the highest goal of those who are liberated",Pootatma Paramatma cha muktanam parama gatih
,,अव्ययः पुरुषः साक्षी क्षेत्रज्ञोऽक्षर एव च।,"The inexhaustible, the Purusha, the witness, the knower of the field, the imperishable",Avyayah purushah sakshi kshetragnah akshara eva cha
,|| ॐ ||,,,
,,"कायेन वाचा मनसेन्द्रियैर्वा, बुद्ध्यात्मना वा प्रकृतेस्स्वभावात्।","Whatever is done by body, speech, mind, senses, intellect, self or natural instinct",Kayena vacha manase ndriyairva buddhyatmana va prakriteh svabhavat
,,"करोमि यद्यत्सकलं परस्मै, नारायणायेति समर्पयामि॥","Whatever I do, I offer it all to the Supreme, to Narayana",Karomi yad yat sakalam parasmai Narayanayeti samarpayami
,|| अंत ||,,,
