line_number,section,hindi,english,roman
1.0,,"शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं,","Peaceful in form, reclining on a serpent, lotus-naveled, lord of gods",Shanta karam bhujaga shayanam Padma nabham Suresham
,,विश्वाधारं गगनसदृशं मेघवर्णं शुभाङ्गम्।,"Support of the universe, sky-like, cloud-complexioned, with auspicious limbs",Vishwa dharam gagana sadrisham megha varnam Shubhangam
,,"लक्ष्मीकान्तं कमलनयनं योगिभिर्ध्यानगम्यं,","Beloved of Lakshmi, lotus-eyed, attained through yogic meditation",Lakshmi kantam kamala nayanam yogibhir dhyana gamyam
,,वन्दे विष्णुं भवभयहरं सर्वलोकैकनाथम्॥,"I salute Vishnu, the remover of worldly fear, the sole lord of all worlds",Vande Vishnum bhava bhaya haram sarva lokaika natham
,|| ॐ ||,,,
,,"क्षीरसमुद्रे शयानं, शेषनागशयनम्।","Reclining in the milk ocean, resting on the serpent Shesha",Kshira samudre shayanam Shesha naga shayanam
,,"लक्ष्मीवल्लभं नारायणं, नमो नमो नमः॥","The beloved of Lakshmi, Narayana — salutations, salutations, salutations",Lakshmi vallabham Narayanam namo namo namah
,|| ॐ ||,,,
,,विष्णुस्तुतिमिदं यः पठेन्नित्यं भक्तिसमन्वितः।,Whoever reads this Vishnu Stuti daily with devotion,Vishnu stutim idam yah pathet nityam bhakti samanvitah
,,वैकुण्ठधाम निलयं विष्णोः साम्यं प्राप्नोति निश्चितम्॥,Certainly attains Vaikuntha abode and becomes equal to Vishnu,Vaikuntha dhama nilayam Vishno samyam prapnoti nishchitam
,|| अंत ||,,,
