line_number,section,hindi,english,roman
1.0,,"गङ्गातरङ्गरमणीयजटाकलापं,",With matted locks made beautiful by the waves of the Ganga,Ganga taranga ramaniya jatakalpam
,,गौरीनिरन्तरविभूषितवामभागम्।,Whose left side is ever adorned by Gauri,Gauri nirantara vibhushita vama bhagam
,,"नारायणप्रियमनङ्गमदापहारं,","Dear to Narayana, destroyer of the pride of Manmatha (Cupid)",Narayana priyam ananga mada paharam
,,वाराणसीपुरपतिं भज विश्वनाथम्॥,"I worship Vishwanatha, the lord of Varanasi city",Varanasi pura patim bhaja Vishwanatham
,|| ॐ ||,,,
,,"सत्यप्रियं सततसुन्दरचन्द्रमौलिं,","Devoted to truth, ever beautiful, with the moon on his crest",Satya priyam satata sundara chandra moulin
,,सर्पप्रियं मणिगणैरभिभूषिताङ्गम्।,"Fond of serpents, with body adorned by groups of gems",Sarpa priyam mani ganaira bhibhushit angam
,,"शिवप्रियं शिव शिव शिव शिव शिव,","Shiva who is dear to Shiva, Shiva, Shiva, Shiva, Shiva",Shiva priyam Shiva Shiva Shiva Shiva Shiva
,,वाराणसीपुरपतिं भज विश्वनाथम्॥,"I worship Vishwanatha, the lord of Varanasi city",Varanasi pura patim bhaja Vishwanatham
,|| ॐ ||,,,
,,विश्वनाथाष्टकमिदं यः पठेद् भक्तिसंयुतः।,Whoever reads this Vishvanath Ashtakam with devotion,Vishvanatha ashtakam idam yah pathed bhakti samyutah
,,काशीं प्राप्नोति मोक्षं च विश्वनाथस्य दर्शनात्॥,Attains Kashi and liberation through the darshan of Vishwanatha,Kashim prapnoti moksham cha Vishvanathasya darshanat
,|| अंत ||,,,
