line_number,section,hindi,english,roman
1.0,,यमाय धर्मराजाय मृत्यवे चान्तकाय च।,"To Yama, to Dharmaraja, to Death and to Antaka",Yamaya Dharmarajaya mrityave cha antakaya cha
,,वैवस्वताय कालाय सर्वभूतक्षयाय च॥,"To Vaivasvata, to Kala, to the dissolution of all beings",Vaivasvataya kalaya sarva bhuta kshayaya cha
,|| ॐ ||,,,
,,औदुम्बराय दध्नाय नीलाय परमेष्ठिने।,"To the Udumbara-hued one, Dadhna, Nila, the supreme one",Audumbaraya dadhnaya Nilaya Paramesthhine
,,वृकोदराय चित्राय चित्रगुप्ताय वै नमः॥,"To Vrikodara, to Chitra, and salutations to Chitragupta",Vrikoda raya chitraya Chitragupta ya vai namah
,|| ॐ ||,,,
,,श्राद्धकाले यमस्तोत्रं पठेद् यः श्रद्धयान्वितः।,Whoever reads Yama Stotram at the time of Shraddha with faith,Shraddha kale Yama stotram pathed yah shraddhayan vitah
,,तस्य पितरः सर्वे नरकाद् उद्धृता भवेत्॥,His ancestors are all delivered from hell,Tasya pitarah sarve narakad uddhrita bhavet
,|| ॐ ||,,,
,,"धर्मराज महाराज, सर्वभूतानां नाथ।","O Dharmaraja, great king, lord of all beings",Dharmaraja maharaja sarva bhutanam natha
,,"मम पितॄन् रक्ष देव, यमाय ते नमः॥","O Lord, protect my ancestors — salutations to you Yama",Mama pitrin raksha deva Yamaya te namah
,|| अंत ||,,,
