line_number,section,hindi,english,roman
1.0,,नमामि यमुनां देवीं सूर्यपुत्रीं पुण्यदाम्।,"I bow to Goddess Yamuna, daughter of the Sun, giver of merit",Namami Yamunam Devim Surya putrim punyadam
,,कृष्णप्रियां कालिन्दीं तां सर्वभयहारिणीम्॥,"The beloved of Krishna, Kalindi, remover of all fears",Krishna priyam Kalindim tam sarva bhaya harinim
,|| ॐ ||,,,
,,कृष्णानुगां कृष्णमयीं कृष्णप्रेमवशीकृताम्।,"Following Krishna, full of Krishna, captivated by love of Krishna",Krishnanugam Krishnamayim Krishna prema vashikritam
,,नमामि यमुनादेवीं सर्वपापप्रणाशिनीम्॥,"I bow to Goddess Yamuna, destroyer of all sins",Namami Yamuna Devim sarva papa pranashinim
,|| ॐ ||,,,
,,मथुरां च वृन्दावनं पुण्यतीर्थसमन्विताम्।,Mathura and Vrindavan — attended by sacred pilgrimage sites,Mathuram cha Vrindaavanam punya tirtha samanvitam
,,कदम्बकाननोद्भूतां कृष्णलीलाभिरामिणीम्॥,"Born in the Kadamba groves, delightful through the deeds of Krishna",Kadamba kana nodbhutam Krishna leela bhiraminim
,|| ॐ ||,,,
,,यमुनाष्टकमिदं यः पठेत् प्रातःसन्ध्यां शुचिः।,Whoever reads this Yamuna Ashtakam at dawn with purity,Yamunaa ashtakam idam yah pathet pratah sandhyam shuchihi
,,सर्वपापविनिर्मुक्तो वैकुण्ठं प्राप्नुयान्नरः॥,"That person, freed from all sins, attains Vaikuntha",Sarva papa vinirmukto Vaikuntham prapnuyaat narah
,|| अंत ||,,,
